source,table,label,priority_channel,duration,snd_nbr,comment
sounds,,select_snd1,00201H,05,0310H,select option sound
sounds,,select_snd2,00202H,05,0311H,
sounds,,select_snd3,00203H,05,0312H,
sounds,,select_snd4,00204H,05,0313H,
sounds,,cursor_snd1,00101H,09,030cH,cursor movement
sounds,,cursor_snd2,00102H,09,030dH,
sounds,,cursor_snd3,00103H,09,030eH,
sounds,,cursor_snd4,00104H,09,030fH,
sounds,,win_snd,02504H,75,0172H,Winner snd/Suckup credits
sounds,,bounce_snd,00001H,27,0260H,Ball bounce
sounds,,plaque_fall1,02501H,91,01f6H,
sounds,,plaque_fall2,02502H,91,01f7H,
sounds,,plaque_fall3,02503H,91,01f8H,
sounds,,plaque_fall4,02504H,91,01f9H,
sounds,,plaque_land1,02601H,99,03a3H,
sounds,,plaque_land2,02602H,99,03a4H,
sounds,,plaque_land3,02603H,99,03a5H,
sounds,,plaque_land4,02604H,99,03a6H,
sounds,,opt_scr_cur,01501H,54,01bdH,option screen
sounds,,opt_scr_sel,01501H,30,03fdH,397 (PUT ON TRACK 5)
sounds,,combo_lock1,01101H,45,03fdH,
sounds,,combo_lock2,01102H,45,03feH,
sounds,,combo_lock3,01103H,45,03ffH,
sounds,,combo_lock4,01104H,45,0400H,
sounds,,adv_stats,01001H,15,0260H,
sounds,,coin_snd,0ff04H,35,0255H,coin in melody snd
sounds,,beep2_snd,00001H,5,0280H,beep tone for diagnostics
sounds,,cntdown_snd,01505H,50,020aH,buyin cntdwn clang
sounds,,horn_snd,04001H,120,02fbH,horn
sounds,,atrib_snd1,00101H,10,03bbH,
sounds,,atrib_snd2,00101H,10,03bfH,
sounds,,atrib_snd3,00101H,10,03c3H,
sounds,,atrib_snd4,00101H,10,03c7H,
sounds,,atrib_snd5,00101H,10,03cbH,
sounds,,atrib_snd6,00101H,10,03cfH,
sounds,,atrib_snd7,00101H,10,03d3H,
sounds,,atrib_snd8,00101H,10,03d7H,
sounds,,atrib_snd9,00101H,10,03dbH,
sounds,,atrib_snd10,00101H,10,03dfH,
sounds,,yes_no_cur1,01501H,15,033bH,
sounds,,yes_no_cur2,01502H,15,033cH,
sounds,,yes_no_cur3,01503H,15,033dH,
sounds,,yes_no_cur4,01504H,15,033eH,
sounds,,yes_no_sel1,01501H,20,0268H,
sounds,,yes_no_sel2,01502H,20,0269H,
sounds,,yes_no_sel3,01503H,20,026aH,
sounds,,yes_no_sel4,01504H,20,026bH,
sounds,,butn_press,00103H,15,0399H,
sounds,,butn_press2,00103H,15,0399H,
sounds,,cursor_up,00101H,10,01bdH,
sounds,,cursor_dwn,00101H,10,01beH,
sounds,,cursor_lft,00101H,10,033bH,
sounds,,cursor_rgt,00101H,10,033bH,
sounds,,chkmrk0_snd,00103H,20,0371H,
sounds,,unchkmrk_snd,00103H,20,0371H,
sounds,,chkmrk_snd,01501H,20,036fH,
sounds,,chkmrk_snd2,01502H,20,0370H,
sounds,,chkmrk_snd3,01503H,20,0371H,
sounds,,chkmrk_snd4,01504H,20,0372H,
sounds,,cursor_up2,00101H,15,033bH,
sounds,,cursor_dwn2,00101H,15,033bH,
sounds,,cursor_lft2,00101H,25,033bH,
sounds,,cursor_rgt2,00101H,25,033bH,
sounds,,cursor_up3,00101H,25,033bH,
sounds,,cursor_dwn3,00101H,25,033bH,
sounds,,whitsle_snd,01504H,45,02f3H,
sounds,,homeaway_cur,00101H,20,027cH,
sounds,,bx_slide_snd,00001H,28,01f6H,
sounds,,diag_cursor,00501H,20,027cH,
sounds,,diag_select,00501H,20,0280H,
sounds,,update_adj,00501H,18,0278H,
sounds,,adj_menu_ext,00501H,20,0280H,
sounds,,error_found,00501H,20,0260H,367 ?
sounds,,tm_sel_cur1,01501H,36,033bH,
sounds,,tm_sel_cur2,01502H,36,033cH,
sounds,,tm_sel_hd_l1,01501H,47,032bH,
sounds,,tm_sel_hd_r1,01501H,47,032bH,
sounds,,tm_sel_hd_l2,01502H,47,032cH,
sounds,,tm_sel_hd_r2,01502H,47,032cH,
sounds,,tm_sel_sel1,03201H,65,03fdH,397
sounds,,tm_sel_sel2,03202H,65,03feH,398
sounds,,tm_sel_ran1,03001H,116,03f9H,
sounds,,tm_sel_ran2,03002H,116,03faH,
sounds,,sel_rndmend1,03101H,45,03a3H,
sounds,,sel_rndmend2,03102H,45,03a4H,
